time,month,temperature,feelslike,wind,direction,gust,cloud,humidity,precipitation,pressure,weather,label
0:00,1,24,28,8,ENE,12,4,86,0,1012,Clear,Clear
3:00,1,23,27,8,NE,10,4,88,0,1011,Clear,Sunny
6:00,1,23,26,8,NNE,11,7,85,0,1012,Sunny,Sunny
9:00,1,28,33,11,NNE,13,6,64,0,1012,Sunny,Partly cloudy
12:00,1,31,35,10,ENE,12,62,53,0,1010,Partly cloudy,Cloudy
15:00,1,31,36,1,NNE,1,79,57,0,1009,Cloudy,Partly cloudy
18:00,1,26,29,5,ESE,10,40,77,0,1010,Partly cloudy,Patchy rain possible
21:00,1,25,28,8,NE,15,29,79,0.2,1011,Patchy rain possible,Clear
0:00,1,24,26,10,NNE,17,12,84,0,1011,Clear,Clear
3:00,1,23,26,8,NE,14,17,85,0,1010,Clear,Sunny
6:00,1,24,26,10,NE,14,16,80,0,1011,Sunny,Sunny
9:00,1,29,32,12,NE,14,9,62,0,1012,Sunny,Partly cloudy
12:00,1,32,36,12,E,14,55,53,0,1010,Partly cloudy,Patchy rain possible
15:00,1,31,36,9,E,13,19,59,1.6,1009,Patchy rain possible,Partly cloudy
18:00,1,26,30,6,ESE,12,34,76,0,1011,Partly cloudy,Clear
21:00,1,25,28,9,ENE,17,21,77,0,1012,Clear,Partly cloudy
0:00,1,24,27,9,NE,15,32,84,0,1011,Partly cloudy,Partly cloudy
3:00,1,23,26,8,NE,14,38,85,0,1010,Partly cloudy,Sunny
6:00,1,23,26,8,NE,11,20,83,0,1011,Sunny,Sunny
9:00,1,28,31,10,NE,12,12,64,0,1011,Sunny,Sunny
12:00,1,32,36,9,E,10,18,49,0,1009,Sunny,Sunny
15:00,1,32,37,5,SE,6,19,51,0,1008,Sunny,Partly cloudy
18:00,1,26,29,8,SSE,14,31,70,0,1010,Partly cloudy,Partly cloudy
21:00,1,25,27,5,ESE,9,30,73,0,1011,Partly cloudy,Clear
0:00,1,24,26,8,NE,13,20,75,0,1010,Clear,Clear
3:00,1,23,26,9,NNE,14,24,78,0,1010,Clear,Partly cloudy
6:00,1,23,26,9,NNE,13,28,76,0,1010,Partly cloudy,Sunny
9:00,1,28,31,8,NNE,9,25,62,0,1011,Sunny,Cloudy
12:00,1,31,35,7,E,8,74,53,0,1009,Cloudy,Light rain shower
15:00,1,30,35,8,ESE,12,40,60,1.9,1008,Light rain shower,Partly cloudy
18:00,1,26,30,6,SE,13,31,77,0,1009,Partly cloudy,Patchy rain possible
21:00,1,25,28,5,SE,8,24,85,0.4,1010,Patchy rain possible,Partly cloudy
0:00,1,24,27,3,NNE,4,36,88,0,1010,Partly cloudy,Clear
3:00,1,24,27,6,NE,10,22,88,0,1010,Clear,Sunny
6:00,1,24,27,7,ENE,9,23,87,0,1010,Sunny,Sunny
9:00,1,28,32,9,E,11,25,66,0,1010,Sunny,Partly cloudy
12:00,1,32,36,14,ESE,17,26,51,0,1008,Partly cloudy,Partly cloudy
15:00,1,31,35,15,SE,20,25,54,0.1,1007,Partly cloudy,Clear
18:00,1,26,29,8,SE,14,22,73,0,1009,Clear,Partly cloudy
21:00,1,25,28,9,ESE,17,28,75,0,1010,Partly cloudy,Partly cloudy
0:00,1,24,27,10,E,19,27,77,0,1009,Partly cloudy,Partly cloudy
3:00,1,24,26,9,ENE,16,25,80,0,1008,Partly cloudy,Sunny
6:00,1,24,27,8,ENE,11,24,78,0,1009,Sunny,Sunny
9:00,1,29,32,10,ENE,12,20,60,0,1009,Sunny,Partly cloudy
12:00,1,32,35,12,ESE,14,33,50,0,1007,Partly cloudy,Partly cloudy
15:00,1,31,35,13,ESE,18,42,57,0.1,1006,Partly cloudy,Partly cloudy
18:00,1,26,30,7,ESE,13,28,77,0,1008,Partly cloudy,Partly cloudy
21:00,1,26,29,6,ESE,12,30,78,0.1,1009,Partly cloudy,Clear
